x,y,yerr
1.634999999999999787e+01,1.400364094664613250e-02,2.556703344560361593e-03
1.664999999999999858e+01,1.353685291509126171e-02,2.513730479920881725e-03
1.694999999999999929e+01,9.802548662652291883e-03,2.139091488099631976e-03
1.724999999999999645e+01,7.935396536432808706e-03,1.924616358874882806e-03
1.754999999999999716e+01,7.468608504877937045e-03,1.867152126219484261e-03
1.784999999999999787e+01,1.353685291509126171e-02,2.513730479920881725e-03
1.814999999999999858e+01,7.468608504877937045e-03,1.867152126219484261e-03
1.844999999999999929e+01,1.026933669420716268e-02,2.189429939701923594e-03
1.874999999999999645e+01,4.667880315548710544e-03,1.476113364219941134e-03
1.904999999999999716e+01,7.935396536432808706e-03,1.924616358874882806e-03
1.934999999999999787e+01,3.734304252438968522e-03,1.320275929956677731e-03
1.964999999999999858e+01,4.201092283993839750e-03,1.400364094664613033e-03
1.994999999999999929e+01,6.068244410213323795e-03,1.683028182543990165e-03
2.024999999999999645e+01,1.867152126219484261e-03,9.335760631097421306e-04
2.054999999999999716e+01,3.267516220884097294e-03,1.235005046475559469e-03
2.084999999999999787e+01,5.601456378658453000e-03,1.617001174036201971e-03
2.114999999999999858e+01,4.201092283993839750e-03,1.400364094664613033e-03
2.144999999999999929e+01,1.400364094664613250e-03,8.085005870181009857e-04
2.174999999999999645e+01,2.800728189329226500e-03,1.143392495347607136e-03
2.204999999999999716e+01,3.267516220884097294e-03,1.235005046475559469e-03
2.234999999999999787e+01,4.201092283993839750e-03,1.400364094664613033e-03
2.264999999999999858e+01,4.201092283993839750e-03,1.400364094664613033e-03
2.294999999999999929e+01,3.734304252438968522e-03,1.320275929956677731e-03
2.324999999999999645e+01,2.333940157774355272e-03,1.043769769640008572e-03
2.354999999999999716e+01,2.333940157774355272e-03,1.043769769640008572e-03
2.384999999999999787e+01,3.267516220884097294e-03,1.235005046475559469e-03
2.414999999999999858e+01,2.333940157774355272e-03,1.043769769640008572e-03
2.444999999999999929e+01,3.267516220884097294e-03,1.235005046475559469e-03
2.474999999999999645e+01,1.400364094664613250e-03,8.085005870181009857e-04
2.504999999999999716e+01,1.400364094664613250e-03,8.085005870181009857e-04
2.534999999999999787e+01,1.867152126219484261e-03,9.335760631097421306e-04
2.564999999999999858e+01,4.667880315548710544e-03,1.476113364219941134e-03
2.594999999999999929e+01,1.867152126219484261e-03,9.335760631097421306e-04
2.624999999999999645e+01,1.867152126219484261e-03,9.335760631097421306e-04
2.654999999999999716e+01,1.867152126219484261e-03,9.335760631097421306e-04
2.684999999999999787e+01,1.867152126219484261e-03,9.335760631097421306e-04
2.714999999999999858e+01,9.335760631097421306e-04,6.601379649783388655e-04
2.744999999999999929e+01,4.667880315548710653e-04,4.667880315548710653e-04
2.774999999999999645e+01,1.400364094664613250e-03,8.085005870181009857e-04
2.804999999999999716e+01,2.800728189329226500e-03,1.143392495347607136e-03
2.834999999999999787e+01,9.335760631097421306e-04,6.601379649783388655e-04
2.864999999999999858e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.894999999999999574e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.924999999999999645e+01,4.667880315548710653e-04,4.667880315548710653e-04
2.954999999999999716e+01,1.400364094664613250e-03,8.085005870181009857e-04
2.984999999999999787e+01,0.000000000000000000e+00,0.000000000000000000e+00
