x,y,yerr
8.849999999999999645e+00,4.318046916697209497e-02,1.277638984301023278e-03
9.150000000000000355e+00,4.148659462347543958e-02,1.252410108708778766e-03
9.449999999999999289e+00,4.579278730283072724e-02,1.316265168350812947e-03
9.750000000000000000e+00,5.397244110073525641e-02,1.429570570009165752e-03
1.005000000000000071e+01,5.841756804334938269e-02,1.487882925215353166e-03
1.034999999999999964e+01,6.780242175492859347e-02,1.603231538918991998e-03
1.065000000000000036e+01,7.396735558656336584e-02,1.674407588955078435e-03
1.094999999999999929e+01,8.752947128873514449e-02,1.821765221323632744e-03
1.125000000000000000e+01,1.026205949256216859e-01,1.972919249074774322e-03
1.155000000000000071e+01,1.081829288004204220e-01,2.025581619295635863e-03
1.184999999999999964e+01,1.234129867005687026e-01,2.163946258497923946e-03
1.215000000000000036e+01,1.343518572831070845e-01,2.258182370128077130e-03
1.244999999999999929e+01,1.402400383679276163e-01,2.307446931051546080e-03
1.275000000000000000e+01,1.485875213728824196e-01,2.374831275436242381e-03
1.305000000000000071e+01,1.346806670913935911e-01,2.261127778956890672e-03
1.334999999999999964e+01,1.234580027858067086e-01,2.164684094798557078e-03
1.365000000000000036e+01,1.021639702082761253e-01,1.969148006895025341e-03
1.394999999999999929e+01,8.718881108738960051e-02,1.819254023156621769e-03
1.425000000000000000e+01,6.813827253944750029e-02,1.607922353567029297e-03
1.454999999999999893e+01,5.455818887726496952e-02,1.438820320383247652e-03
1.484999999999999964e+01,4.325160996815640563e-02,1.281079700439002877e-03
1.515000000000000036e+01,3.315023097272210700e-02,1.121411713163593176e-03
1.544999999999999929e+01,3.033210852080966968e-02,1.073096117018622385e-03
1.575000000000000000e+01,2.468678345176832795e-02,9.676408495879062913e-04
1.604999999999999716e+01,1.916242468597603374e-02,8.527604526692117264e-04
1.634999999999999787e+01,1.695486657641477948e-02,8.019995038963359697e-04
1.664999999999999858e+01,1.640820968859334206e-02,7.886374786462257546e-04
1.694999999999999929e+01,1.288652812558944462e-02,6.989582838544414287e-04
1.724999999999999645e+01,1.117264643309823571e-02,6.506096471262465958e-04
1.754999999999999716e+01,1.168632999916296294e-02,6.659277772480738135e-04
1.784999999999999787e+01,1.036516556948770436e-02,6.263376789222766102e-04
1.814999999999999858e+01,9.744597652639370305e-03,6.079123139497386594e-04
1.844999999999999929e+01,7.853806587883250395e-03,5.447612609385334191e-04
1.874999999999999645e+01,7.731916875353658618e-03,5.414107586123931542e-04
1.904999999999999716e+01,6.321836054905536663e-03,4.892981822345253114e-04
1.934999999999999787e+01,7.413110641564546813e-03,5.296452883209488505e-04
1.964999999999999858e+01,6.392784485667656579e-03,4.918760616147677903e-04
1.994999999999999929e+01,6.506709812683829364e-03,4.962543568590292069e-04
2.024999999999999645e+01,4.835805016446655981e-03,4.275694036373882010e-04
2.054999999999999716e+01,4.926760596203419613e-03,4.321624921296039279e-04
2.084999999999999787e+01,4.873780125452045753e-03,4.292524942627626923e-04
2.114999999999999858e+01,4.433084179133348242e-03,4.098987726891155023e-04
2.144999999999999929e+01,4.048331301830784823e-03,3.914601459357410808e-04
2.174999999999999645e+01,4.114277945344243376e-03,3.942277587275878426e-04
2.204999999999999716e+01,4.000352618328072325e-03,3.887019411315864852e-04
2.234999999999999787e+01,3.620601528274171137e-03,3.696865023229147472e-04
2.264999999999999858e+01,2.881106497161012043e-03,3.305229307408472724e-04
2.294999999999999929e+01,3.800473498803799439e-03,3.783766861303822573e-04
2.324999999999999645e+01,3.387749086993168974e-03,3.572962183113952768e-04
2.354999999999999716e+01,3.483706453998594403e-03,3.632688828578094068e-04
2.384999999999999787e+01,3.070982042187963938e-03,3.412564318300467239e-04
2.414999999999999858e+01,2.567302050620564637e-03,3.114463013123637308e-04
2.444999999999999929e+01,2.975024675182535907e-03,3.348914131957382882e-04
2.474999999999999645e+01,2.681227377636736121e-03,3.183160776854752059e-04
2.504999999999999716e+01,2.230527856820712414e-03,2.904732129159394590e-04
2.534999999999999787e+01,2.529326941615174431e-03,3.091224509756293980e-04
2.564999999999999858e+01,1.931728772026250398e-03,2.705414665928995276e-04
2.594999999999999929e+01,1.731849652501974259e-03,2.554846428139732699e-04
2.624999999999999645e+01,1.855778554015469553e-03,2.651574387760871556e-04
2.654999999999999716e+01,1.627927899983126802e-03,2.483058877966181103e-04
2.684999999999999787e+01,1.461022102215579939e-03,2.341426305261089811e-04
2.714999999999999858e+01,1.931728772026250398e-03,2.705414665928995276e-04
2.744999999999999929e+01,1.405079033199445847e-03,2.309935701419793118e-04
2.774999999999999645e+01,1.774826548756026695e-03,2.589775677043347924e-04
2.804999999999999716e+01,1.096276373907660454e-03,2.036327313053299098e-04
2.834999999999999787e+01,1.594954578226398176e-03,2.461068344577085031e-04
2.864999999999999858e+01,1.438052354956174689e-03,2.333351010769924125e-04
2.894999999999999574e+01,1.058301264902270031e-03,2.000604417542293937e-04
2.924999999999999645e+01,1.362102136945393845e-03,2.270705872337227551e-04
2.954999999999999716e+01,1.367103924194055424e-03,2.278506540323424533e-04
2.984999999999999787e+01,8.734275071239793907e-04,1.821222248692879874e-04
